binary/file;version_rule;version_detected;csv_rule;license;static/emulation;
/bin/busybox;busybox;BusyBox v1.22.1 ;busybox:1.22.1;gplv2;emulation;
/bin/busybox;busybox;BusyBox v1.22.1 (2014-12-31 11:42:21 CST);busybox:1.22.1;gplv2;emulation;
/bin/busybox;busybox;BusyBox v1.22.1 (2014-12-31 11:42:21 CST) multi-call binary;busybox:1.22.1;gplv2;emulation;
/bin/curl;curl;curl 7.37.0;curl:7.37.0;mit-style;emulation;
/usr/sbin/elog;elog;event log utility v1.0.1;elog:1.0.1;unknown;emulation;
/usr/bin/flash_eraseall;flash_eraseall;flash_eraseall $Revision: 1.1 $;mtd-utils:1.1;unknown;emulation;
/sbin/ip6tables;ip6tables;ip6tables v1.4.4;iptables:1.4.4;unknown;emulation;
/usr/sbin/iperf;iperf;iperf version 2.0.5;iperf:2.0.5;unknown;emulation;
/sbin/iptables;iptables;iptables v1.4.4;iptables:1.4.4;gpl;emulation;
/sbin/iptables;iptables;iptables v1.4.4;iptables:1.4.4;gpl;emulation;
/usr/bin/iwpriv;iwpriv;iwpriv    Version 25;wireless_tools:25;unknown;emulation;
/usr/sbin/mkdosfs;mkdosfs;mkdosfs 3.0.16 (01 Mar 2013);mkdosfs:3.0.16;gplv3;emulation;
/sbin/pppoe-sniff;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2000 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/sbin/pppoe-relay;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/sbin/pppoe;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/sbin/pppoe-relay;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;unknown;emulation;
/sbin/pppoe-relay;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/sbin/pppoe-server;rp-pppoe;PPPoE-Server Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/sbin/pppoe-sniff;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/sbin/pppoe-sniff;rp-pppoe;Roaring Penguin PPPoE Version 3.10;roaring_penguin:pppoe:3.10;gplv2;emulation;
/sbin/pppoe;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;unknown;emulation;
/sbin/pppoe-relay;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/sbin/pppoe;rp-pppoe;Roaring Penguin PPPoE Version 3.10;roaring_penguin:pppoe:3.10;gplv2;emulation;
/sbin/pppoe;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/sbin/pppoe;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/sbin/pppoe-relay;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;unknown;emulation;
/sbin/pppoe-sniff;rp-pppoe;Roaring Penguin PPPoE Version 3.10;roaring_penguin:pppoe:3.10;gplv2;emulation;
/sbin/pppoe-relay;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2000 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/sbin/pppoe;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;unknown;emulation;
/sbin/pppoe;rp-pppoe;Roaring Penguin PPPoE Version 3.10;roaring_penguin:pppoe:3.10;gplv2;emulation;
/sbin/pppoe-sniff;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2000 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/sbin/pppoe;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2000 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/sbin/pppoe-relay;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/sbin/pppoe-sniff;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/sbin/pppoe;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/usr/sbin/rscam_uvc;Realtek_camera_tool;Welcome to Realtek Camera Tool. Version 1.11.1;realtek_camera_tool:1.11.1;unknown;emulation;
/usr/sbin/upnp_igd;upnp_igd;UPnP ControlPoint 1.0 for IGD;upnp_controlpoint:1.0;unknown;emulation;
