Grepit test;Number of results;Used args for grep;Regex used;Grepit comment;
6_android_access_query;297;;query\(;Do a query on Android;
5_android_intents_getData;41;;\.getData\(;Android get data from an intent;
4_android_system_path;17;;/system;/system is the path where a lot of binaries are stored. So whenever an Android app does something like executing a binary such as /system/xbin/which with an absolut path. Often used in root-detection mechanisms.;
4_apikeys_TOKEN;17;;TOKEN;TOKEN environment variable;
5_c_malloc;11;;malloc\(;malloc. Rather rare bug, but see issues CVE-2010-0041 and CVE-2010-0042. Uninitialized memory access issues? Could also happen in java/android native code. Also developers should check return codes.;
5_c_realloc;17;;realloc\(;realloc. Rather rare bug, but see issues CVE-2010-0041 and CVE-2010-0042. Uninitialized memory access issues? Could also happen in java/android native code. Also developers should check return codes.;
4_cryptocred_crypt_call;23;-i;crypt\(;Crypt (the method itself) can be dangerous, also matches any calls to decrypt(, encrypt( or whatevercrypt(, which is desired;
5_cryptocred_ciphers_rc2;46;-i;RC2;RC2 cipher. Security depends heavily on usage and what is secured.;
5_cryptocred_ciphers_rc4;45;;RC4;RC4 cipher. Security depends heavily on usage and what is secured.;
4_cryptocred_ciphers_crc32;5;-i;CRC32;CRC32 is a checksum algorithm. Security depends heavily on usage and what is secured.;
5_c_insecure_c_functions_sprintf_snprintf;5;;snprintf\(;Buffer overflows and format string vulnerable methods: sprintf --> snprintf, vsprintf --> vsnprintf;
7_cryptocred_ciphers_des;329;;DES;DES cipher. Security depends heavily on usage and what is secured.;
5_cryptocred_ciphers_md2;11;;MD2;MD2. Security depends heavily on usage and what is secured.;
5_c_insecure_c_functions_gets;5;;gets\(;Buffer overflows and format string vulnerable methods: gets --> fgets;
5_c_random;97;;random\(;Random is not a secure random number generator;
5_cryptocred_ciphers_md5;169;;MD5;MD5. Security depends heavily on usage and what is secured.;
4_cryptocred_ciphers_sha1_uppercase;42;;SHA-?1;SHA1. Security depends heavily on usage and what is secured.;
3_dotnet_unsafe_declaration;5;;unsafe\s;If you declare a variable 'unsafe' in .NET you can do pointer arythmetic and therefore introduce buffer overflows etc. again;
4_cryptocred_ciphers_sha1_lowercase;53;;sha-?1;SHA1. Security depends heavily on usage and what is secured.;
4_dotnet_marshal;29;;Marshal;If you use Marshal in .NET you use an unsafe API and therefore you could introduce buffer overflows etc. again.;
