Grepit test;Number of results;Used args for grep;Regex used;Grepit comment;
4_apikeys_TOKEN;137;;TOKEN;TOKEN environment variable;
5_cryptocred_ciphers_rc2;72;-i;RC2;RC2 cipher. Security depends heavily on usage and what is secured.;
5_cryptocred_ciphers_rc4;59;;RC4;RC4 cipher. Security depends heavily on usage and what is secured.;
4_cryptocred_ciphers_crc32;5;-i;CRC32;CRC32 is a checksum algorithm. Security depends heavily on usage and what is secured.;
5_c_insecure_c_functions_gets;5;;gets\(;Buffer overflows and format string vulnerable methods: gets --> fgets;
5_c_random;21;;random\(;Random is not a secure random number generator;
7_cryptocred_ciphers_des;488;;DES;DES cipher. Security depends heavily on usage and what is secured.;
3_dotnet_unsafe_declaration;5;;unsafe\s;If you declare a variable 'unsafe' in .NET you can do pointer arythmetic and therefore introduce buffer overflows etc. again;
5_cryptocred_ciphers_md2;34;;MD2;MD2. Security depends heavily on usage and what is secured.;
4_dotnet_marshal;4;;Marshal;If you use Marshal in .NET you use an unsafe API and therefore you could introduce buffer overflows etc. again.;
5_cryptocred_ciphers_md5;173;;MD5;MD5. Security depends heavily on usage and what is secured.;
4_cryptocred_ciphers_sha1_uppercase;42;;SHA-?1;SHA1. Security depends heavily on usage and what is secured.;
4_dotnet_unchecked;11;;unchecked;unchecked allows to disable exceptions for integer overflows, see https://sonarqube.com/coding_rules#types=VULNERABILITY|languages=cs;
4_cryptocred_ciphers_sha1_lowercase;41;;sha-?1;SHA1. Security depends heavily on usage and what is secured.;
4_cryptocred_ciphers_sha256;42;-i;SHA-?256;SHA256. Security depends heavily on usage and what is secured.;
4_cryptocred_ciphers_sha512;27;-i;SHA-?512;SHA256. Security depends heavily on usage and what is secured.;
4_cryptocred_ciphers_PBKDF2;17;-i;PBKDF2;PBKDF2. Security depends heavily on usage and what is secured.;
4_cryptocred_ciphers_hmac;71;-i;HMAC;HMAC. Security depends heavily on usage and what is secured.;
4_cryptocred_ciphers_ntlm;50;;NTLM;NTLM. Security depends heavily on usage and what is secured.;
4_cryptocred_ciphers_kerberos;22;-i;kerberos;Kerberos. Security depends heavily on usage and what is secured.;
6_cryptocred_hash;1457;-i;hash(?!(table|map|set|code));Hash;
2_cryptocred_encryption_key;130;-i;encrypt.{0,20}key;Encryption key and variants of it;
4_cryptocred_dev_random;35;;/dev/u?random;Sources of entropy: /dev/random and /dev/urandom;
5_general_deny;55;;[Dd]eny;Denying is often used for filtering, etc.;
4_general_exec_narrow;88;;exec\s{0,20}\(;Exec mostly means executing on OS.;
2_cryptocred_certificates_and_keys_narrow_begin-certificate;605;;BEGIN CERTIFICATE;Narrow search for certificate and keys specifics of base64 encoded format;
1_cryptocred_certificates_and_keys_narrow_private-key;16;;PRIVATE KEY;Narrow search for certificate and keys specifics of base64 encoded format;
5_general_exec_wide;387;;exec;Exec mostly means executing on OS.;
2_cryptocred_certificates_and_keys_narrow_public-key;5;;PUBLIC KEY;Narrow search for certificate and keys specifics of base64 encoded format;
4_general_eval_narrow;143;;eval\s{0,20}\(;Eval mostly means evaluating commands.;
5_cryptocred_certificates_and_keys_wide_begin-certificate;605;-i;BEGIN.{0,20}CERTIFICATE;Wide search for certificate and keys specifics of base64 encoded format;
5_cryptocred_certificates_and_keys_wide_private-key;129;-i;PRIVATE.{0,20}KEY;Wide search for certificate and keys specifics of base64 encoded format;
5_cryptocred_certificates_and_keys_wide_public-key;151;-i;PUBLIC.{0,20}KEY;Wide search for certificate and keys specifics of base64 encoded format;
6_cryptocred_salt1;23;;[Ss]alt;Salt for a hashing algorithm?;
5_general_eval_wide;1109;;eval;Eval mostly means evaluating commands.;
6_cryptocred_salt2;5;;SALT;Salt for a hashing algorithm?;
5_general_syscall_wide;22;-i;sys.?call;Syscall: Command execution?;
4_general_system_narrow;5;-i;system\s{0,20}\(;system: Command execution?;
4_cryptocred_password;1166;-i;pass.?wo?r?d;Password and variants of it;
5_cryptocred_pw_capitalcase;89;;PW.?=;PW abbrevation for password;
5_general_system_wide;2745;-i;system;system: Command execution?;
4_general_usr_dir;100;;["']/usr/;Search for binary paths or similar: Command execution?;
5_cryptocred_pwd_uppercase;1386;;PWD;PWD abbrevation for password;
4_general_sbin_dir;5;;["']/sbin/;Search for binary paths or similar: Command execution?;
3_general_etc_dir;31;;["']/etc/;Configuration files in /etc/;
5_cryptocred_pwd_lowercase;500;;pwd;pwd abbrevation for password;
3_general_mnt_dir;16;;["']/mnt/;Configuration files in /mnt/;
5_cryptocred_pwd_capitalcase;59;;Pwd;Pwd abbrevation for password;
5_general_pipeline_wide;17;-i;pipeline;pipeline: Command execution?;
5_general_popen_wide;41;-i;popen;popen: Command execution?;
5_general_spawn_wide;17;-i;spawn;spawn: Command execution?;
5_cryptocred_credentials_wide;22;-i;creden;Credentials. Included everything 'creden' because some programers write credencials instead of credentials and such things.;
5_general_chown;11;-i;chown;chown: Change owner command;
5_general_chmod;33;-i;chmod;chmod: Change mode (permissions) command;
